subjid,address1,city,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,longBusinessSummary
AMGN,One Amgen Center Drive,Thousand Oaks,United States,https://www.amgen.com,Drug Manufacturers - General,drug-manufacturers-general,Drug Manufacturers - General,Healthcare,healthcare,Healthcare,26700,8,7,2,1,3,1/1/2025 1:00,http://investors.amgen.com/phoenix.zhtml?c=61656&p=irol-IRHome,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. The company's principal products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Prolia to treat postmenopausal women with osteoporosis; XGEVA for skeletal-related events prevention; Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization; Nplate for the treatment of patients with immune thrombocytopenia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; Aranesp to treat a lower-than-normal number of red blood cells and anemia; EVENITY for the treatment of osteoporosis in postmenopausal for men and women; Vectibix to treat patients with wild-type RAS metastatic colorectal cancer; BLINCYTO for the treatment of patients with acute lymphoblastic leukemia; TEPEZZA to treat thyroid eye disease; and KRYSTEXXA for the treatment of chronic refractory gout. It also markets other products, including Neulasta, MVASI, AMJEVITA/AMGEVITA, TEZSPIRE, Parsabiv, Aimovig, LUMAKRAS/LUMYKRAS, EPOGEN, KANJINTI, TAVNEOS, RAVICTI, UPLIZNA and PROCYSBI. The company serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with AstraZeneca plc for the development and commercialization of TEZSPIRE; Novartis Pharma AG to develop and commercialize Aimovig; UCB for the development and commercialization of EVENITY; Kyowa Kirin Co., Ltd. for rocatinlimab development and commercialization; and BeiGene, Ltd. for oncology products expansion and development. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California."
KAO.F,"14-10, Nihonbashi Kayabacho",Tokyo,Japan,https://www.kao.com/jp/,Household & Personal Products,household-personal-products,Household & Personal Products,Consumer Defensive,consumer-defensive,Consumer Defensive,34257,1,1,1,1,1,1/1/2025 1:00,http://www.kao.com/jp/en/corp_ir/investors.html,"Kao Corporation develops and sells hygiene and living care, health and beauty care, life care, cosmetics, and chemical products. The company offers fabric, kitchen, home, and sanitary care products; facial, body, hair, and oral care, hair styling and color, salon, in-bathroom health care, and warming products; and self-selection cosmetics, as well as provides cosmetics counselling services. It also provides oleo chemicals, such as oleo chemicals; fat and oil derivatives; surfactants; fragrances; water-reducing admixtures; casting sand binders; plastics additives; process chemicals; toners and toner binders; inkjet ink colorants and ink; fine polishing agents and cleaners; and materials and process chemicals. The company was formerly known as Kao Soap Co., Ltd. and changed its name to Kao Corporation in 1982. Kao Corporation was founded in 1887 and is headquartered in Tokyo, Japan."
CWW.F,Commonwealth Bank Place South,Sydney,Australia,https://www.commbank.com.au,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,32259,5,2,1,1,1,1/1/2025 1:00,,"Commonwealth Bank of Australia provides financial services in Australia, New Zealand, and internationally. It operates through Retail Banking Services, Business Banking, Institutional Banking and Markets, and New Zealand segments. The company offers transaction, savings, and foreign currency accounts; term deposits; personal and business loans; overdrafts; equipment finance; credit cards; international payment and trade; and private banking services, as well as home and car loans. It also provides institutional banking services; funds management, superannuation, and share broking products and services; home, car, health, life, income protection, and travel insurance products, as well as retail, premium, business, offshore services. In addition, the company offers advisory services for high-net-worth individuals; equities trading and margin lending services; debt capital, transaction banking, working capital, and risk management services; and international and foreign exchange services. Commonwealth Bank of Australia was founded in 1911 and is based in Sydney, Australia."
FUC.F,3580 Oshino-mura,Yamanashi,Japan,https://www.fanuc.co.jp,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,9970,1,2,1,7,2,1/1/2025 1:00,http://www.fanuc.co.jp/en/ir/index.html,"Fanuc Corporation provides factory automation products in Japan, the Americas, Europe, China, the rest of Asia, and internationally. The company offers CNC series products, servo motors, lasers, robots, compact machining centers, electric injection molding machines, wire electrical discharge machines, and ultra-precision machines. It also provides FANUC intelligent edge link and drive system, an open platform for the manufacturing industry. Fanuc Corporation was incorporated in 1950 and is headquartered in Yamanashi, Japan."
KHC,One PPG Place,Pittsburgh,United States,https://www.kraftheinzcompany.com,Packaged Foods,packaged-foods,Packaged Foods,Consumer Defensive,consumer-defensive,Consumer Defensive,36000,5,7,4,3,4,1/1/2025 1:00,,"The Kraft Heinz Company, together with its subsidiaries, manufactures and markets food and beverage products in North America and internationally. Its products include condiments and sauces, cheese and dairy products, meals, meats, refreshment beverages, coffee, and other grocery products under the Kraft, Oscar Mayer, Heinz, Philadelphia, Lunchables, Velveeta, Ore-Ida, Maxwell House, Kool-Aid, Jell-O, Heinz, ABC, Master, Quero, Kraft, Golden Circle, Wattie's, Pudliszki, and Plasmon brands. It sells its products through its own sales organizations, as well as through independent brokers, agents, and distributors to chain, wholesale, cooperative, and independent grocery accounts; convenience, value, and club stores; pharmacies and drug stores; mass merchants; foodservice distributors; institutions, including hotels, restaurants, bakeries, hospitals, health care facilities, and government agencies; and online through various e-commerce platforms and retailers. The company was formerly known as H.J. Heinz Holding Corporation and changed its name to The Kraft Heinz Company in July 2015. The Kraft Heinz Company was founded in 1869 and is based in Pittsburgh, Pennsylvania."
SHW,101 West Prospect Avenue,Cleveland,United States,https://www.sherwin-williams.com,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,64088,3,8,6,9,8,1/1/2025 1:00,http://investors.sherwin-williams.com/,"The Sherwin-Williams Company engages in the development, manufacture, distribution, and sale of paints, coating, and related products to professional, industrial, commercial, and retail customers. It operates through three segments: Paint Stores Group, Consumer Brands Group, and Performance Coatings Group. The Paint Stores Group segment offers architectural paints and coatings, and protective and marine products, as well as OEM product finishes and related products for architectural and industrial paint contractors, and do-it-yourself homeowners. The Consumer Brands Group segment supplies a portfolio of branded and private-label architectural paints, stains, varnishes, industrial products, wood finishes products, wood preservatives, applicators, corrosion inhibitors, aerosols, caulks, and adhesives to retailers, including home centers and hardware stores, and dedicated dealers and distributors. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications, automotive refinish products, protective and marine coatings, coil coatings, packaging coatings, and performance-based resins and colorants. It serves retailers, dealers, jobbers, licensees, and other third-party distributors through its branches and direct sales staff, as well as through outside sales representatives. The company has operations primarily in the North and South America, the Caribbean, Europe, Asia, and Australia. The Sherwin-Williams Company was founded in 1866 and is headquartered in Cleveland, Ohio."
ULTA,1000 Remington Boulevard,Bolingbrook,United States,https://www.ulta.com,Specialty Retail,specialty-retail,Specialty Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,20000,5,1,6,6,3,12/1/2024 1:00,,"Ulta Beauty, Inc. operates as a specialty beauty retailer in the United States. The company offers branded and private label beauty products, including cosmetics, fragrance, haircare, skincare, bath and body products, professional hair products, and salon styling tools through its Ulta Beauty stores, shop-in-shops, Ulta.com website, and its mobile applications. It also offers beauty services, including hair, makeup, brow, and skin services at its stores. The company was formerly known as ULTA Salon, Cosmetics & Fragrance, Inc. and changed its name to Ulta Beauty, Inc. in January 2017. Ulta Beauty, Inc. was incorporated in 1990 and is based in Bolingbrook, Illinois."
APH,358 Hall Avenue,Wallingford,United States,https://www.amphenol.com,Electronic Components,electronic-components,Electronic Components,Technology,technology,Technology,95000,7,10,9,2,9,1/1/2025 1:00,,"Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Harsh Environment Solutions, Communications Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including harsh environment data, power, high-speed, fiber optic, and radio frequency interconnect products; busbars and power distribution systems; and other connectors. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, broadband communication, commercial aerospace, industrial, information technology and data communication, military, mobile device, and mobile network markets. Amphenol Corporation was founded in 1932 and is headquartered in Wallingford, Connecticut."
AME,1100 Cassatt Road,Berwyn,United States,https://www.ametek.com,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,21500,6,8,4,9,8,1/1/2025 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=104638&p=irol-irhome,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices in the North America, Europe, Asia, and South America, and internationally. The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets; power quality monitoring and c devices, uninterruptible power supplies, programmable power and electromagnetic compatibility test equipment, and sensors for gas turbines and dashboard instruments; heavy trucks, instrumentation, and controls for the food and beverage industries; and aircraft and engine sensors, power supplies, embedded computing, monitoring, fuel and fluid measurement, and data acquisition systems for aerospace and defense industry. Its EMG segment offers engineered medical components and devices, automation solutions, thermal management systems, specialty metals, and electrical interconnects; single-use and consumable surgical instruments, implantable components, and drug delivery systems; engineered electrical connectors and electronics packaging to protect sensitive devices and mission-critical electronics; precision motion control products for data storage, medical devices, business equipment, and automation; high-purity powdered metals, strips and foils, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for thermal management, military and commercial aircraft, and military ground vehicles; motors for commercial appliances, food and beverage machines, hydraulic pumps, and industrial blowers; and operates a network of aviation maintenance, repair, and overhaul facilities. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania."
AMT,116 Huntington Avenue,Boston,United States,https://www.americantower.com,REIT - Specialty,reit-specialty,REIT - Specialty,Real Estate,real-estate,Real Estate,5643,1,2,4,2,1,1/1/2025 1:00,http://www.americantower.com/atcweb/irpages/irhome.asp,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of over 224,000 communications sites and a highly interconnected footprint of U.S. data center facilities."
ALFVY,Rudeboksvägen 1,Lund,Sweden,https://www.alfalaval.com,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,22095,,,,,,,,"Alfa Laval AB (publ) provides heat transfer, separation, and fluid handling products and solutions worldwide. It operates in three divisions: Energy, Food & Water, and Marine. The company offers oil/gas-fired steam and composite steam boilers, exhaust gas economizer, and ballast water treatment systems, and exhaust gas cleaning products. It also provides sensing and control, cleaning validation, condition monitoring, agitators, tank, powder mixers, fittings, and tubes, as well as wall mounted cleaning nozzles, rotary jet and heads; and tank accessories and covers. In addition, the company offers centrifugal, rotary lobe, three screw, twin screw, and circumferential piston pumps. Further, it provides butterfly, control and check, double seal, diaphragm, double seat, regulating, safety, sampling, shutter, single seat, and ball valves. Additionally, the company offers heat exchanger, tube-in-tube heat exchangers, and process shell-and-tube heat exchangers. Furthermore, it provides finned tube air heat, scraped surface heat exchangers, and various plate heat exchangers, wet surface, and HYAC hybrid air coolers. The company also offers decanters and separator related products. It serves energy, utilities, home, personal care, food, dairy, beverage, marine, transportation, pharmaceutical, biotech, water, and wastewater industries. Alfa Laval AB (publ)was founded in 1883 and is headquartered in Lund, Sweden."
ABBV,1 North Waukegan Road,North Chicago,United States,https://www.abbvie.com,Drug Manufacturers - General,drug-manufacturers-general,Drug Manufacturers - General,Healthcare,healthcare,Healthcare,50000,4,4,3,9,7,1/1/2025 1:00,,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals worldwide. The company offers Humira, an injection for autoimmune and intestinal Behçet's diseases, and pyoderma gangrenosum; Skyrizi to treat moderate to severe plaque psoriasis, psoriatic disease, and Crohn's disease; Rinvoq to treat rheumatoid and psoriatic arthritis, ankylosing spondylitis, atopic dermatitis, axial spondyloarthropathy, ulcerative colitis, and Crohn's disease; Imbruvica for the treatment of adult patients with blood cancers; Epkinly to treat lymphoma; Elahere to treat cancer; and Venclexta/Venclyxto to treat blood cancers. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox therapeutic; Vraylar for depressive disorder; Duopa and Duodopa to treat advanced Parkinson's disease; Ubrelvy for the acute treatment of migraine in adults; and Qulipta for episodic and chronic migraine. In addition, the company offers Ozurdex for eye diseases; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Restasis to increase tear production; and other eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; Lupron to treat advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; and Synthroid for hypothyroidism. It has collaborations with Calico Life Sciences LLC; REGENXBIO Inc.; Janssen Biotech, Inc.; Evolveimmune Therapeutics, Inc.; Genentech, Inc.; and Tentarix Biotherapeutics, LP. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois."
ZTS,10 Sylvan Way,Parsippany,United States,https://www.zoetis.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,14100,3,1,2,7,2,1/1/2025 1:00,,"Zoetis Inc. engages in the discovery, development, manufacture, and commercialization of animal health medicines, vaccines, and diagnostic products and services in the United States and internationally. The company commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep and others; and companion animals comprising dogs, cats, and horses. It also offers parasiticides, vaccines, dermatology, other pharmaceutical, anti-infectives, animal health diagnostics, and medicated feed additives. In addition, the company provides animal health diagnostics, including point-of-care diagnostic products, instruments and reagents, rapid immunoassay tests, reference laboratory kits and services, and blood glucose monitors; and other non-pharmaceutical products, which include nutritionals, as well as products and services in biodevices, genetic tests, and precision animal health. It markets its products to veterinarians, livestock producers, and pet owners. The company has collaboration Blacksmith Medicines, Inc. to discover and develop novel antibiotics for animal health. Zoetis Inc. was founded in 1952 and is headquartered in Parsippany, New Jersey."
TGR.BE,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile,No fundamentals data found for any of the summaryTypes=assetProfile
WNS,Godrej & Boyce Complex,Mumbai,India,https://www.wns.com,Information Technology Services,information-technology-services,Information Technology Services,Technology,technology,Technology,62951,2,1,8,4,3,1/1/2025 1:00,http://ir.wns.com/phoenix.zhtml?c=200768&p=irol-irhome,"WNS (Holdings) Limited, a business process management (BPM) company, provides data, voice, analytical, and business transformation services worldwide. The company operates through TSLU, MRHP, HCLS, and BFSI segments. It engages in diversified business, including manufacturing, retail, consumer packaged goods, media and entertainment, and telecommunication; travel and leisure, utilities, shipping, and logistics; healthcare and life sciences; banking, financial services, and insurance; and Hi-tech and professional services, as well as procurement. In addition, the company provides a range of services, such as finance and accounting, customer experience, research and analytics, technology, legal, and human resources outsourcing services. Further, it offers digital transformation and consulting services designed to allow its clients to enhance productivity, manage changes in the business environment, and leverage business knowledge to increase market competitiveness. Additionally, the company provides claims handling and repair management services for automobile repairs through a network of third-party repair centers, as well as accident management services. WNS (Holdings) Limited was founded in 1996 and is based in Mumbai, India."
WES,9950 Woodloch Forest Drive,The Woodlands,United States,https://www.westernmidstream.com,Oil & Gas Midstream,oil-gas-midstream,Oil & Gas Midstream,Energy,energy,Energy,1377,,,,,,,,"Western Midstream Partners, LP, together with its subsidiaries, operates as a midstream energy company primarily in the United States. It is involved in gathering, compressing, treating, processing, and transporting natural gas; gathering, stabilizing, and transporting condensate, natural gas liquids (NGLs), and crude oil; and gathering and disposing produced water. The company also buys and sells natural gas, NGLs, and condensate. It operates assets located in Texas, New Mexico, the Rocky Mountains, and North-central Pennsylvania. Western Midstream Holdings, LLC operates as the general partner of the company. The company was formerly known as Western Gas Equity Partners, LP and changed its name to Western Midstream Partners, LP in February 2019. Western Midstream Partners, LP was incorporated in 2007 and is based in The Woodlands, Texas."
WST,530 Herman O. West Drive,Exton,United States,https://www.westpharma.com,Medical Instruments & Supplies,medical-instruments-supplies,Medical Instruments & Supplies,Healthcare,healthcare,Healthcare,10600,7,8,3,4,5,1/1/2025 1:00,http://www.westpharma.com/en/Investors/Pages/default.aspx,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syringe and cartridge components, including custom solutions for the needs of injectable drug applications, as well as administration systems that enhance the safe delivery of drugs through advanced reconstitution, mixing, and transfer technologies; and films, coatings, washing, and vision inspection and sterilization processes and services to enhance the quality of packaging components. This segment also provides drug containment solutions, including Crystal Zenith, a cyclic olefin polymer in the form of vials, syringes, and cartridges; and self-injection devices; and a range of integrated solutions, including analytical lab services, pre-approval primary packaging support and engineering development, regulatory expertise, and after-sales technical support. This segment serves biologic, generic, and pharmaceutical drug companies. The Contract-Manufactured Products segment is involved in the design, manufacture, and automated assembly of devices used in surgical, diagnostic, ophthalmic, injectable, and other drug delivery systems, as well as consumer products. The company serves pharmaceutical, diagnostic, and medical device companies. It sells and distributes its products through its sales force and distribution network, contract sales agents, and regional distributors. West Pharmaceutical Services, Inc. was founded in 1923 and is headquartered in Exton, Pennsylvania."
FWRD,Building N,Greeneville,United States,https://www.forwardaircorp.com,Integrated Freight & Logistics,integrated-freight-logistics,Integrated Freight & Logistics,Industrials,industrials,Industrials,4014,8,2,9,5,5,1/1/2025 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=104524&p=irol-irhome,"Forward Air Corporation, together with its subsidiaries, operates as an asset-light freight and logistics company in the United States and Canada. It operates in two segments, Expedited Freight and Intermodal. The Expedited Freight segment provides expedited regional, inter-regional, and national less-than-truckload services; local pick-up and delivery services; and other services, which include shipment consolidation and deconsolidation, warehousing, customs brokerage, and other handling. This segment offers expedited truckload brokerage, dedicated fleet, and high security and temperature-controlled logistics services. The Intermodal segment provides intermodal container drayage services; and contract and container freight station warehouse and handling services. It serves freight forwarders, third-party logistics companies, integrated air cargo carriers and passenger, passenger and cargo airlines, steamship lines, and retailers. Forward Air Corporation was founded in 1981 and is headquartered in Greeneville, Tennessee."
HDSN,300 Tice Boulevard,Woodcliff Lake,United States,https://www.hudsontech.com,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,237,9,9,8,9,9,1/1/2025 1:00,,"Hudson Technologies, Inc., through its subsidiary, Hudson Technologies Company, engages in the provision of solutions to recurring problems within the refrigeration industry in the United States. The company engages in the sale of refrigerant and industrial gas; provision of refrigerant management services consisting primarily of reclamation of refrigerants, re-usable cylinder refurbishment, and hydrostatic testing services; and RefrigerantSide services comprising system decontamination and recovery to remove moisture, oils, and other contaminants. It also offers Chiller Chemistry, which integrates several fluid tests of an operating system and the corresponding laboratory results into an engineering report; Fluid Chemistry, an abbreviated version of Chiller Chemistry, which is designed to quickly identify systems that require further examination; SmartEnergy OPS, a web-based real time continuous monitoring system, for measuring, modifying and improving the efficiency of energy systems, including air conditioning and refrigeration systems, in industrial and commercial applications; and ChillSmart, which combines the system optimization with Chiller Chemistry for providing a snapshot of a packaged chiller's operating efficiency and health. In addition, the company participates in the generation of carbon offset projects. It serves commercial, industrial, and governmental customers, as well as refrigerant wholesalers, distributors, contractors, and refrigeration equipment manufacturers. The company was incorporated in 1991 and is headquartered in Woodcliff Lake, New Jersey."
IDCC,200 Bellevue Parkway,Wilmington,United States,https://www.interdigital.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,450,4,2,4,4,3,1/1/2025 1:00,,"InterDigital, Inc. operates as a global research and development company with focus primarily on wireless, visual, artificial intelligence (AI), and related technologies. The company engages in the design and development of technologies that enable connected in a range of communications and entertainment products and services, which are licensed to companies providing such products and services, including makers of wireless communications, consumer electronics, IoT devices, and cars and other motor vehicles, as well as providers of cloud-based services, such as video streaming. It designs and develops a range of innovations for use in digital cellular and wireless products and networks, including 2G, 3G, 4G, 5G, and IEEE 802-related products and networks. The company also develops cellular technologies, such as technologies related to CDMA, TDMA, OFDM/OFDMA, and MIMO for use in 2G, 3G, 4G, and 5G wireless networks, as well as mobile terminal devices; and 3GPP technology portfolio in 5G, 5G, advanced and 6G, as well as technologies for automobiles, wearables, smart homes, drones, and other connected consumer electronic products. In addition, it provides video coding and transmission technologies; and engages in the research and development of artificial intelligence and machine learning solutions. Further, the company's patented technologies are used in various products that include smartphones, tablets, consumer electronics, and base stations; televisions, laptops, gaming consoles, set-top boxes, streaming devices, and connected automobiles. InterDigital, Inc. was incorporated in 1972 and is headquartered in Wilmington, Delaware."
KAI,One Technology Park Drive,Westford,United States,https://www.kadant.com,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,3500,4,6,3,5,4,1/1/2025 1:00,http://phx.corporate-ir.net/phoenix.zhtml?c=89087&p=irol-irhome,"Kadant Inc. supplies technologies and engineered systems worldwide. It operates in three segments: Flow Control, Industrial Processing, and Material Handling. The Flow Control segment develops, manufactures, and markets fluid-handling systems and equipment, such as rotary joints, syphons, turbulator bars, expansion joints, and engineered steam and condensate systems; and doctoring, cleaning, and filtration systems and related consumables consisting of doctor systems and holders, doctor blades, cleaning shower and fabric-conditioning systems, forming systems and wear surfaces, and water-filtration systems. The Industrial Processing segment develops, manufactures, and markets ring and rotary debarkers, stranders, chippers, engineered knife systems, industrial automation and control, recycling and approach flow systems, and virgin pulping process equipment for use in the packaging, tissue, wood products, and alternative fuel industries. The Material Handling segment offers conveying and vibratory equipment, and baling products; and manufactures and sells biodegradable absorbent granules for carriers in agricultural, home lawn and garden, professional lawn, turf, and ornamental applications, as well as for oil and grease absorption. The company markets and sells its products, services, and systems through direct sales, independent sales agents, and distributors. The company was formerly known as Thermo Fibertek, Inc. and changed its name to Kadant Inc. in July 2001. Kadant Inc. was incorporated in 1991 and is headquartered in Westford, Massachusetts."
MATX,1411 Sand Island Parkway,Honolulu,United States,https://www.matson.com,Marine Shipping,marine-shipping,Marine Shipping,Industrials,industrials,Industrials,4315,1,2,2,2,1,1/1/2025 1:00,,"Matson, Inc., together with its subsidiaries, engages in the provision of ocean transportation and logistics services. It operates through two segments, Ocean Transportation and Logistics. The Ocean Transportation segment offers ocean freight transportation services to the domestic non-contiguous economies of Hawaii, Japan, Alaska, and Guam, as well as to other island economies in Micronesia. It primarily transports dry containers of mixed commodities, refrigerated commodities, food products, beverages, building materials, automobiles, and household goods; livestock; seafood; general sustenance cargo; and garments, footwear, e-commerce, and other retail merchandise. This segment also operates an expedited service from China to Long Beach, California, and various islands in the South Pacific, as well as Okinawa, Japan; and provides stevedoring, refrigerated cargo services, inland transportation, container equipment maintenance, and other terminal services to ocean carriers on the Hawaiian islands of Oahu, Hawaii, Maui, and Kauai, as well as in the Alaska locations of Anchorage, Kodiak, and Dutch Harbor. In addition, it offers vessel management and container transshipment services. The Logistics segment provides multimodal transportation brokerage services, including domestic and international rail intermodal, long-haul and regional highway trucking, specialized hauling, flat-bed and project, less-than-truckload, and expedited freight services; less-than-container load consolidation and freight forwarding services; warehousing and distribution services; supply chain management services, and non-vessel operating common carrier freight forwarding services. It serves the U.S. military, freight forwarders, retailers, consumer goods, automobile manufacturers, and other customers. The company was formerly known as Alexander & Baldwin Holdings, Inc. and changed its name to Matson, Inc. in June 2012. Matson, Inc. was founded in 1882 and is headquartered in Honolulu, Hawaii."
MCRI,3800 South Virginia Street,Reno,United States,https://www.monarchcasino.com,Resorts & Casinos,resorts-casinos,Resorts & Casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,2900,9,10,6,5,8,1/1/2025 1:00,,"Monarch Casino & Resort, Inc., through its subsidiaries, owns and operates the Atlantis Casino Resort Spa, a hotel and casino in Reno, Nevada. It also owns and operates the Monarch Casino Resort Spa Black Hawk in Black Hawk, Colorado. The company was incorporated in 1993 and is based in Reno, Nevada."
MTH,18655 North Claret Drive,Scottsdale,United States,https://www.meritagehomes.com,Residential Construction,residential-construction,Residential Construction,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,1838,1,3,1,2,1,1/1/2025 1:00,,"Meritage Homes Corporation, together with its subsidiaries, designs and builds single-family attached and detached homes in the United States. The company operates through two segments, Homebuilding and Financial Services. It acquires and develops land; and constructs, markets, and sells homes for entry-level and first move-up buyers in Arizona, California, Colorado, Utah, Texas, Florida, Georgia, North Carolina, South Carolina, and Tennessee. The company also offers title and escrow, mortgage, insurance, and closing/settlement services to its homebuyers. Meritage Homes Corporation was founded in 1985 and is based in Scottsdale, Arizona."
SHLS,1400 Shoals Way,Portland,United States,https://www.shoals.com,Solar,solar,Solar,Technology,technology,Technology,1309,3,5,6,7,5,1/1/2025 1:00,,"Shoals Technologies Group, Inc. provides electrical balance of system (EBOS) solutions and components for solar, battery energy, and electric vehicle (EV) charging applications in the United States and internationally. The company designs, manufactures, and sells system solutions for both homerun and combine-as-you-go wiring architectures, as well as offers technical support services. It provides EBOS components, including combiners; plug-n-play branch connectors and inline fuses; AC disconnects; recombiners; wireless monitoring; junction boxes; wire management; EV power cabinets; and battery energy storage systems cabinets, as well as cable assemblies, transition enclosures, and splice boxes. In addition, the company offers eMobility solutions, such as a power center, which combines equipment needed to protect the charging equipment and transform voltage levels from the electric utility to those needed on the respective site; quick connect solutions for chargers to connect to the Shoals system; big lead assembly (BLA) technology in the EV space to connect multiple chargers to a single power center; and a raceway system that protects the above ground EV BLAs in walk over and drive over applications. Further, it provides Snapshot IV, a solar operations and maintenance solution that monitors the specific voltage and current of individual solar panels and compares the results against the manufacturer's projected performance. The company sells its products to engineering, procurement, and construction firms that build solar energy projects; utilities; solar developers, independent power producers; solar module manufacturers; and charge point operators. Shoals Technologies Group, Inc. was founded in 1996 and is headquartered in Portland, Tennessee."
TH,9320 Lakeside Boulevard,The Woodlands,United States,https://www.targethospitality.com,Specialty Business Services,specialty-business-services,Specialty Business Services,Industrials,industrials,Industrials,984,3,6,3,5,4,1/1/2025 1:00,,"Target Hospitality Corp. operates as a specialty rental and hospitality services company in North America. The company operates through two segments, Hospitality & Facilities Services - South and Government. It owns a network of specialty rental accommodation units. In addition, the company provides catering and food, maintenance, housekeeping, grounds-keeping, security, health and recreation facilities, workforce community management, concierge, and laundry services. It serves the U.S. government contractors and investment grade natural resource development companies. Target Hospitality Corp. was founded in 1978 and is headquartered in The Woodlands, Texas."
